cost_bps_per_side,rule,trades,win_rate,mean_ret_bps,median_ret_bps,ci90_mean_low_bps,ci90_mean_high_bps,positive_days,sum_all_trades_pct
0,"R0 hold 10:00 to close, all movers",1208,0.5,-9.7,0.1,-33.0,13.6,10/21,-117.5
0,"R3 opening range breakout, trailing stop",508,0.441,18.0,-18.6,-7.0,43.0,9/21,91.5
0,"R4 buy on 3-bar up, sell on 3-bar down, all day",1208,0.461,-0.2,-22.3,-17.8,17.5,11/21,-1.8
0,"R1 buy strength 10:00, sell at close",395,0.496,-7.2,-0.7,-56.4,42.0,10/21,-28.6
0,"R2 buy strength 10:00, trailing stop 1.5 ATR",395,0.438,26.2,-39.7,-7.0,59.4,13/21,103.4
5,"R0 hold 10:00 to close, all movers",1208,0.492,-19.7,-9.9,-43.0,3.6,9/21,-238.3
5,"R3 opening range breakout, trailing stop",508,0.423,8.0,-28.6,-17.0,33.0,8/21,40.7
5,"R4 buy on 3-bar up, sell on 3-bar down, all day",1208,0.31,-99.3,-121.9,-117.3,-81.3,4/21,-1199.7
5,"R1 buy strength 10:00, sell at close",395,0.494,-17.2,-10.7,-66.4,32.0,9/21,-68.1
5,"R2 buy strength 10:00, trailing stop 1.5 ATR",395,0.423,16.2,-49.7,-17.0,49.4,11/21,63.9
10,"R0 hold 10:00 to close, all movers",1208,0.479,-29.7,-19.9,-53.0,-6.4,8/21,-359.1
10,"R3 opening range breakout, trailing stop",508,0.386,-2.0,-38.6,-27.0,23.0,7/21,-10.1
10,"R4 buy on 3-bar up, sell on 3-bar down, all day",1208,0.219,-198.5,-220.2,-216.9,-180.1,1/21,-2397.6
10,"R1 buy strength 10:00, sell at close",395,0.484,-27.2,-20.7,-76.4,22.0,9/21,-107.6
10,"R2 buy strength 10:00, trailing stop 1.5 ATR",395,0.408,6.2,-59.7,-27.0,39.4,10/21,24.4
20,"R0 hold 10:00 to close, all movers",1208,0.441,-49.7,-39.9,-73.0,-26.4,8/21,-600.7
20,"R3 opening range breakout, trailing stop",508,0.343,-22.0,-58.6,-47.0,3.0,7/21,-111.7
20,"R4 buy on 3-bar up, sell on 3-bar down, all day",1208,0.108,-396.8,-422.7,-416.1,-377.5,0/21,-4793.4
20,"R1 buy strength 10:00, sell at close",395,0.456,-47.2,-40.7,-96.4,2.0,9/21,-186.6
20,"R2 buy strength 10:00, trailing stop 1.5 ATR",395,0.38,-13.8,-79.7,-47.0,19.4,7/21,-54.6
