universe,symbol_days,atr_mult,cost_bps_per_side,trades,win_rate,mean_bps,trimmed_1pct_mean_bps,median_bps,top_trade_share_of_total_pct,positive_days,day_t
"single stocks only, price>=5",603,1.5,0,182,0.418,9.7,-3.0,-39.5,205.0,14/21,0.37
"single stocks only, price>=5",603,1.5,10,182,0.401,-10.3,-23.0,-59.5,-192.0,11/21,-0.38
"single stocks only, price>=5",603,1.5,20,182,0.368,-30.3,-43.0,-79.5,-65.0,10/21,-1.08
"single stocks only, price>=5",603,2.5,0,182,0.445,-3.0,-8.2,-22.8,-530.0,13/21,-0.11
"single stocks only, price>=5",603,2.5,10,182,0.423,-23.0,-28.2,-42.8,-68.0,12/21,-0.86
"single stocks only, price>=5",603,2.5,20,182,0.412,-43.0,-48.2,-62.8,-36.0,10/21,-1.55
"single stocks only, price>=10",507,1.5,0,151,0.424,-6.7,-0.7,-37.9,-55.0,13/21,-0.27
"single stocks only, price>=10",507,1.5,10,151,0.417,-26.7,-20.7,-57.9,-13.0,11/21,-1.03
"single stocks only, price>=10",507,1.5,20,151,0.377,-46.7,-40.7,-77.9,-7.0,10/21,-1.73
"single stocks only, price>=10",507,2.5,0,151,0.464,1.6,7.3,-16.8,378.0,12/21,0.05
"single stocks only, price>=10",507,2.5,10,151,0.437,-18.4,-12.7,-36.8,-33.0,12/21,-0.54
"single stocks only, price>=10",507,2.5,20,151,0.424,-38.4,-32.7,-56.8,-15.0,10/21,-1.1
