symbol,bars,trading_days,decisions_30m,naive_momentum_accuracy_30m,median_abs_30m_move_bps,mean_abs_30m_move_bps
AAPL,1638,21,1503,0.495,15.1,22.7
MSFT,1638,21,1501,0.481,15.1,20.4
NVDA,1638,21,1495,0.5,19.1,27.0
AMZN,1638,21,1495,0.453,14.4,21.3
META,1638,21,1505,0.441,22.0,31.9
GOOGL,1638,21,1499,0.476,14.8,20.7
TSLA,1638,21,1500,0.477,25.0,35.1
AMD,1635,21,1499,0.478,25.9,36.5
AVGO,1638,21,1502,0.516,21.5,27.5
NFLX,1638,21,1466,0.508,16.1,23.6
JPM,1636,21,1492,0.468,14.6,21.1
XOM,1635,21,1483,0.474,17.2,22.2
LLY,1608,21,1476,0.465,18.5,24.2
UNH,1637,21,1492,0.488,15.5,23.3
COST,1576,21,1442,0.501,12.5,16.3
BAC,1638,21,1451,0.49,15.3,23.5
WMT,1638,21,1483,0.482,14.1,18.7
CRM,1637,21,1502,0.497,27.6,36.8
ORCL,1638,21,1496,0.515,31.2,41.8
PLTR,1637,21,1495,0.513,30.1,41.6
